Video TotalLoss AvgLoss
5 1.244335 0.248867
10 1.302407 0.260481
15 0.894950 0.178990
20 0.951208 0.190242
25 1.166094 0.233219
30 0.730638 0.146128
35 0.655771 0.131154
40 0.922628 0.184526
45 0.698850 0.139770
50 0.581623 0.116325
55 0.623515 0.124703
60 0.939551 0.187910
65 0.577128 0.115426
70 0.715673 0.143135
75 0.945800 0.189160
80 1.078308 0.215662
85 1.091643 0.218329
90 0.649915 0.129983
95 0.997845 0.199569
100 0.751227 0.150245
105 0.485209 0.097042
110 1.096649 0.219330
115 0.560087 0.112017
120 1.096122 0.219224
125 1.232761 0.246552
130 0.928678 0.185736
135 0.821831 0.164366
140 1.086901 0.217380
145 0.823640 0.164728
150 0.569150 0.113830
155 0.466355 0.093271
160 0.917221 0.183444
165 0.636753 0.127351
170 0.655536 0.131107
175 0.650459 0.130092
180 0.806426 0.161285
185 0.546025 0.109205
190 0.871231 0.174246
195 0.641122 0.128224
200 0.705658 0.141132
205 0.542525 0.108505
210 0.644139 0.128828
215 0.396974 0.079395
220 0.435730 0.087146
225 0.421239 0.084248
230 0.648032 0.129606
235 0.356460 0.071292
240 0.414688 0.082938
245 0.382779 0.076556
250 0.490141 0.098028
255 0.293448 0.058690
260 0.235687 0.047137
265 0.354879 0.070976
270 0.400108 0.080022
275 0.309705 0.061941
280 0.546878 0.109376
285 0.360798 0.072160
290 0.297091 0.059418
295 0.286973 0.057395
300 0.388018 0.077604
305 0.301209 0.060242
310 0.775139 0.155028
315 0.624228 0.124846
320 0.347097 0.069419
325 0.272839 0.054568
330 0.388090 0.077618
335 0.432520 0.086504
340 0.416633 0.083327
345 0.271378 0.054276
350 0.222689 0.044538
355 0.426727 0.085345
360 0.260032 0.052006
365 0.404801 0.080960
370 0.484525 0.096905
375 0.476474 0.095295
380 0.358781 0.071756
385 0.274433 0.054887
390 0.555021 0.111004
395 0.583682 0.116736
400 0.318423 0.063685
405 0.217917 0.043583
410 0.311497 0.062299
415 0.270936 0.054187
420 0.315927 0.063185
425 0.286918 0.057384
430 0.296256 0.059251
435 0.169924 0.033985
440 0.422508 0.084502
445 0.289157 0.057831
450 0.328125 0.065625
455 0.392057 0.078411
460 0.200765 0.040153
465 0.412481 0.082496
470 0.301965 0.060393
475 0.238104 0.047621
480 0.086642 0.017328
485 0.131907 0.026381
490 0.573606 0.114721
495 0.541870 0.108374
500 0.222311 0.044462
505 0.238450 0.047690
510 0.215749 0.043150
515 0.311399 0.062280
520 0.118892 0.023778
525 0.218845 0.043769
530 0.522786 0.104557
535 0.108512 0.021702
540 0.054181 0.010836
545 0.248007 0.049601
550 0.355710 0.071142
555 0.303078 0.060616
560 0.376421 0.075284
565 0.337789 0.067558
570 0.453930 0.090786
575 0.321561 0.064312
580 0.232283 0.046457
585 0.226045 0.045209
590 0.220402 0.044080
595 0.181494 0.036299
600 0.135935 0.027187
605 0.139791 0.027958
610 0.190222 0.038044
615 0.255652 0.051130
620 0.246519 0.049304
625 0.156255 0.031251
630 0.173360 0.034672
635 0.490391 0.098078
640 0.490643 0.098129
645 0.278925 0.055785
650 0.315515 0.063103
655 0.225389 0.045078
660 0.363438 0.072688
665 0.212360 0.042472
670 0.416657 0.083331
675 0.243823 0.048765
680 0.140117 0.028023
685 0.366906 0.073381
690 0.532449 0.106490
695 0.429616 0.085923
700 0.344302 0.068860
705 0.149340 0.029868
710 0.329903 0.065981
715 0.160565 0.032113
720 0.400259 0.080052
725 0.251154 0.050231
730 0.239781 0.047956
735 0.209718 0.041944
740 0.474085 0.094817
745 0.430543 0.086109
750 0.141132 0.028226
755 0.123817 0.024763
760 0.191014 0.038203
765 0.431981 0.086396
770 0.143612 0.028722
775 0.435394 0.087079
780 0.127753 0.025551
785 0.426234 0.085247
790 0.421382 0.084276
795 0.234432 0.046886
800 0.372491 0.074498
805 0.119150 0.023830
810 0.218241 0.043648
815 0.439954 0.087991
820 0.222663 0.044533
825 0.302244 0.060449
830 0.316397 0.063279
835 0.360484 0.072097
840 0.182142 0.036428
845 0.115257 0.023051
850 0.094576 0.018915
855 0.374930 0.074986
860 0.346461 0.069292
865 0.164284 0.032857
870 0.160062 0.032012
875 0.308898 0.061780
880 0.281363 0.056273
885 0.220307 0.044061
890 0.248768 0.049754
895 0.118558 0.023712
900 0.129652 0.025930
905 0.451509 0.090302
910 0.365711 0.073142
915 0.275635 0.055127
920 0.215967 0.043193
925 0.381398 0.076280
930 0.340762 0.068152
935 0.207995 0.041599
940 0.479787 0.095957
945 0.124903 0.024981
950 0.136719 0.027344
955 0.128207 0.025641
960 0.099385 0.019877
965 0.057817 0.011563
970 0.393969 0.078794
975 0.327007 0.065401
980 0.089021 0.017804
985 0.223549 0.044710
990 0.384949 0.076990
995 0.240378 0.048076
1000 0.139591 0.027918
1005 0.117362 0.023472
1010 0.294702 0.058940
1015 0.386404 0.077281
1020 0.112015 0.022403
1025 0.369464 0.073893
1030 0.264430 0.052886
1035 0.270614 0.054123
1040 0.399130 0.079826
1045 0.396079 0.079216
1050 0.300351 0.060070
1055 0.362072 0.072414
1060 0.266474 0.053295
1065 0.109774 0.021955
1070 0.492603 0.098521
1075 0.399315 0.079863
1080 0.271874 0.054375
1085 0.124182 0.024836
1090 0.141703 0.028341
1095 0.147186 0.029437
1100 0.438930 0.087786
1105 0.463390 0.092678
1110 0.288178 0.057636
1115 0.312819 0.062564
1120 0.415907 0.083181
1125 0.100806 0.020161
1130 0.130738 0.026148
1135 0.311018 0.062204
1140 0.152232 0.030446
1145 0.336654 0.067331
1150 0.310531 0.062106
1155 0.068206 0.013641
1160 0.132552 0.026510
1165 0.086834 0.017367
1170 0.083491 0.016698
1175 0.233881 0.046776
1180 0.224935 0.044987
1185 0.194265 0.038853
1190 0.173482 0.034696
1195 0.220701 0.044140
1200 0.132494 0.026499
1205 0.395631 0.079126
1210 0.420084 0.084017
1215 0.096013 0.019203
1220 0.502183 0.100437
1225 0.276697 0.055339
1230 0.476977 0.095395
1235 0.118322 0.023664
1240 0.172844 0.034569
1245 0.147283 0.029457
1250 0.264683 0.052937
1255 0.145319 0.029064
1260 0.241608 0.048322
1265 0.302427 0.060485
1270 0.221116 0.044223
1275 0.161190 0.032238
1280 0.287547 0.057509
1285 0.096185 0.019237
1290 0.126242 0.025248
1295 0.142965 0.028593
1300 0.432792 0.086558
1305 0.357055 0.071411
1310 0.583967 0.116793
1315 0.237599 0.047520
